device_number,average_resistance,spread
D10,13.905661207502893,3.3454636217852585
D11,1598798.912700068,2774426.8306278693
D13,513659294.6936242,770379265.6224452
D14,33.86952832814416,0.0
D16,9.53533071409762,0.0
D20,445.6586933352671,86.05384980885137
D26,898181615.2961107,1777125173.150858
D30,1314165216.1485417,1962248649.83312
D31,4122710.8630989296,5881331.432892291
D32,11.003797192559736,0.0
D33,350506.41583740857,525459.632685966
D34,649883856.2246566,957802048.02066
D59,4052996.9854657687,4473044.086849389
D60,585598266.7787045,2026601833.941206
D65,423584466.5952816,2390540264.1369243
D76,1932.2281202466081,0.0
D79,6141560.469653673,0.0
D83,991148154.3948228,2153315205.4206743
D84,6979723008.72667,5810239946.342023
D86,189175706.97847155,314669666.5621802
D87,17880281.07323665,0.0
D89,27751836.743686654,0.0
D90,88547.12941590234,66991.81417293684
D92,88500.95501419117,67203.15737397004
