device_number,concentration,bottom_electrode,polymer,polymer_percent,top_electrode,average_resistance,classification,key
D26,,ITO,F,1,Gold,26471776.79940185,Memristive,F8PFB/D26-Stock-ITO-F8PFB(1%)-Gold-s4/G/10/1-FS-1V-0.1SV.txt
D26,,ITO,F,1,Gold,7431445.70933429,Memristive,F8PFB/D26-Stock-ITO-F8PFB(1%)-Gold-s4/G/10/1-FS-3V-0.1SV-10loops.txt
D26,,ITO,F,1,Gold,3556536792.4887114,Memristive,F8PFB/D26-Stock-ITO-F8PFB(1%)-Gold-s4/G/2/1-FS-2V-0.1SV.txt
D26,,ITO,F,1,Gold,2286446.18699556,Memristive,F8PFB/D26-Stock-ITO-F8PFB(1%)-Gold-s4/G/3/1-FS-1V-0.1.txt
D86,,ITO,PMMA,2,Gold,44516680.2476119,Memristive,PMMA/D86-Stock-ITO-PMMA(2%)-Gold-s8/G/10/1-fs-2v-0.1sv-100na-1E-3-5loops.txt
D86,,ITO,PMMA,2,Gold,6323811.56050661,Memristive,PMMA/D86-Stock-ITO-PMMA(2%)-Gold-s8/G/2/1-fs-1v-0.05sv-100na-1E-4-5loops.txt
D86,,ITO,PMMA,2,Gold,635663144.684867,Memristive,PMMA/D86-Stock-ITO-PMMA(2%)-Gold-s8/G/3/1-fs-1v-0.05sv-100na-1E-4-5loops.txt
D86,,ITO,PMMA,2,Gold,19632793.697359305,Memristive,PMMA/D86-Stock-ITO-PMMA(2%)-Gold-s8/G/6/1-fs-4v-0.1sv-100na.txt
D86,,ITO,PMMA,2,Gold,239742104.70201293,Memristive,PMMA/D86-Stock-ITO-PMMA(2%)-Gold-s8/G/7/1-fs-5v-0.1sv-100na-1E-3.txt
D90,,ITO,PMMA,2,ITO,21555.315242965513,Memristive,PMMA/D90-Stock-ITO-PMMA(2%)-ITO-s4/G/1/1-fs-1v-0.05sv-100na.txt
D90,,ITO,PMMA,2,ITO,155538.94358883917,Memristive,PMMA/D90-Stock-ITO-PMMA(2%)-ITO-s4/G/1/1-fs-1v-0.05sv-100ua.txt
