	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	5.43e-12	5.43e-12	0.0	0.0	5.43e-12	0.0	5.43e-12	0.0	5.43e-12	5.43e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
1	0.05	9.75e-12	9.75e-12	5128205128.205129	0.05	9.75e-12	0.0	0.0	22.3580215573648	9.75e-12	0.0	0.000975	0.0	500000.00000000006	0.0	1.95e-10	0.0	0.22360679774997896	0.0	Memristive
2	0.1	1.185e-11	1.185e-11	8438818565.400845	0.1	1.185e-11	0.0	0.0	22.85610815535336	1.185e-11	0.0	0.0011849999999999999	0.0	1000000.0000000001	0.0	1.1849999999999998e-10	0.0	0.31622776601683794	0.0	Memristive
3	0.15	1.624e-11	1.624e-11	9236453201.970444	0.15	1.624e-11	0.0	0.0	22.946423796309134	1.624e-11	0.0	0.0016239999999999996	0.0	1500000.0	0.0	1.0826666666666667e-10	0.0	0.3872983346207417	0.0	Memristive
4	0.2	2.15e-11	2.15e-11	9302325581.39535	0.2	2.15e-11	0.0	0.0	22.95353026836083	2.15e-11	0.0	0.00215	0.0	2000000.0000000002	0.0	1.0749999999999999e-10	0.0	0.4472135954999579	0.0	Memristive
5	0.25	2.983e-11	2.983e-11	8380824673.147838	0.25	2.983e-11	0.0	0.0	22.849212156282	2.983e-11	0.0	0.002983	0.0	2500000.0	0.0	1.1932e-10	0.0	0.5	0.0	Memristive
6	0.3	3.87e-11	3.87e-11	7751937984.496124	0.3	3.87e-11	0.0	0.0	22.771208711566874	3.87e-11	0.0	0.003869999999999999	0.0	3000000.0	0.0	1.29e-10	0.0	0.5477225575051661	0.0	Memristive
7	0.35	4.941e-11	4.941e-11	7083586318.558995	0.35	4.941e-11	0.0	0.0	22.68104615857221	4.941e-11	0.0	0.004941	0.0	3500000.0	0.0	1.4117142857142858e-10	0.0	0.5916079783099616	0.0	Memristive
8	0.4	6.117e-11	6.117e-11	6539153179.663235	0.4	6.117e-11	0.0	0.0	22.60107351079992	6.117e-11	0.0	0.006116999999999999	0.0	4000000.0000000005	0.0	1.5292499999999997e-10	0.0	0.6324555320336759	0.0	Memristive
9	0.45	7.352e-11	7.352e-11	6120783460.282917	0.45	7.352e-11	0.0	0.0	22.534955941663345	7.352e-11	0.0	0.007351999999999998	0.0	4500000.0	0.0	1.6337777777777775e-10	0.0	0.6708203932499369	0.0	Memristive
10	0.5	8.478e-11	8.478e-11	5897617362.585515	0.5	8.478e-11	0.0	0.0	22.497814269444113	8.478e-11	0.0	0.008478	0.0	5000000.0	0.0	1.6956e-10	0.0	0.7071067811865476	0.0	Memristive
11	0.55	9.812e-11	9.812e-11	5605381165.919283	0.55	9.812e-11	0.0	0.0	22.44699289578264	9.812e-11	0.0	0.009812	0.0	5500000.000000001	0.0	1.784e-10	0.0	0.7416198487095663	0.0	Memristive
12	0.6	1.026e-10	1.026e-10	5847953216.374269	0.6	1.026e-10	0.0	0.0	22.489357559425887	1.026e-10	0.0	0.01026	0.0	6000000.0	0.0	1.71e-10	0.0	0.7745966692414834	0.0	Memristive
13	0.65	1.187e-10	1.187e-10	5475989890.480203	0.65	1.187e-10	0.0	0.0	22.42363889822047	1.187e-10	0.0	0.01187	0.0	6500000.000000001	0.0	1.826153846153846e-10	0.0	0.806225774829855	0.0	Memristive
14	0.7	1.34e-10	1.34e-10	5223880597.014925	0.7	1.34e-10	0.0	0.0	22.376506372038904	1.34e-10	0.0	0.0134	0.0	7000000.0	0.0	1.9142857142857144e-10	0.0	0.8366600265340756	0.0	Memristive
15	0.75	1.553e-10	1.553e-10	4829362524.146812	0.75	1.553e-10	0.0	0.0	22.297980313322125	1.553e-10	0.0	0.015529999999999999	0.0	7500000.0	0.0	2.0706666666666667e-10	0.0	0.8660254037844386	0.0	Memristive
16	0.8	2.094e-10	2.094e-10	3820439350.5253105	0.8	2.094e-10	0.0	0.0	22.063631266177904	2.094e-10	0.0	0.02094	0.0	8000000.000000001	0.0	2.6175e-10	0.0	0.8944271909999159	0.0	Memristive
17	0.85	1.657e-10	1.657e-10	5129752564.876282	0.85	1.657e-10	0.0	0.0	22.358323261998255	1.657e-10	0.0	0.01657	0.0	8500000.0	0.0	1.9494117647058825e-10	0.0	0.9219544457292888	0.0	Memristive
18	0.9	1.55e-10	1.55e-10	5806451612.903226	0.9	1.55e-10	0.0	0.0	22.482235483351474	1.55e-10	0.0	0.015499999999999998	0.0	9000000.0	0.0	1.7222222222222223e-10	0.0	0.9486832980505138	0.0	Memristive
19	0.95	2.015e-10	2.015e-10	4714640198.511166	0.95	2.015e-10	0.0	0.0	22.27393844015426	2.015e-10	0.0	0.02015	0.0	9500000.0	0.0	2.1210526315789476e-10	0.0	0.9746794344808963	0.0	Memristive
20	1.0	3.691e-10	3.691e-10	2709292874.55974	1.0	3.691e-10	0.0	0.0	21.719953505892594	3.691e-10	0.0	0.03690999999999999	0.0	10000000.0	0.0	3.691e-10	0.0	1.0	0.0	Memristive
21	1.05	4.069e-10	4.069e-10	2580486606.0457115	1.05	4.069e-10	0.0	0.0	21.671243825090336	4.069e-10	0.0	0.04069	0.0	10500000.0	0.0	3.8752380952380953e-10	0.0	1.02469507659596	0.0	Memristive
22	1.1	3.412e-10	3.412e-10	3223915592.0281363	1.1	3.412e-10	0.0	0.0	21.89386248011535	3.412e-10	0.0	0.034120000000000004	0.0	11000000.000000002	0.0	3.101818181818182e-10	0.0	1.0488088481701516	0.0	Memristive
23	1.15	4.348e-10	4.348e-10	2644894204.2318306	1.15	4.348e-10	0.0	0.0	21.695896903056653	4.348e-10	0.0	0.04348	0.0	11500000.0	0.0	3.7808695652173917e-10	0.0	1.0723805294763609	0.0	Memristive
24	1.2	5.107e-10	5.107e-10	2349716075.974153	1.2	5.107e-10	0.0	0.0	21.577560339068903	5.107e-10	0.0	0.051070000000000004	0.0	12000000.0	0.0	4.2558333333333334e-10	0.0	1.0954451150103321	0.0	Memristive
25	1.25	6.083e-10	6.083e-10	2054907118.1982577	1.25	6.083e-10	0.0	0.0	21.4434964859161	6.083e-10	0.0	0.060829999999999995	0.0	12500000.0	0.0	4.8664e-10	0.0	1.118033988749895	0.0	Memristive
26	1.3	6.806e-10	6.806e-10	1910079341.757273	1.3	6.806e-10	0.0	0.0	21.370410618329235	6.806e-10	0.0	0.06806000000000001	0.0	13000000.000000002	0.0	5.235384615384615e-10	0.0	1.140175425099138	0.0	Memristive
27	1.35	8.139e-10	8.139e-10	1658680427.5709548	1.35	8.139e-10	0.0	0.0	21.22928820004589	8.139e-10	0.0	0.08139000000000002	0.0	13500000.000000002	0.0	6.028888888888888e-10	0.0	1.161895003862225	0.0	Memristive
28	1.4	9.311e-10	9.311e-10	1503597894.962947	1.4	9.311e-10	0.0	0.0	21.131126669655277	9.311e-10	0.0	0.09311000000000001	0.0	14000000.0	0.0	6.650714285714286e-10	0.0	1.1832159566199232	0.0	Memristive
29	1.45	8.567e-10	8.567e-10	1692541146.2589002	1.45	8.567e-10	0.0	0.0	21.24949687339103	8.567e-10	0.0	0.08567000000000001	0.0	14500000.0	0.0	5.908275862068966e-10	0.0	1.2041594578792296	0.0	Memristive
