	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	-2.515e-11	2.515e-11	-0.0	0.0	-2.515e-11	0.0	2.515e-11	0.0	2.515e-11	2.515e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
1	0.05	1.098e-10	1.098e-10	455373406.19307834	0.05	1.098e-10	0.0	0.0	19.936628313299128	1.098e-10	0.0	0.01098	0.0	500000.00000000006	0.0	2.196e-09	0.0	0.22360679774997896	0.0	Memristive
2	0.1	-1.621e-11	1.621e-11	-6169031462.060456	0.1	-1.621e-11	0.0	0.0	22.54280768718692	1.621e-11	0.0	-0.0016210000000000003	0.0	1000000.0000000001	0.0	-1.6210000000000001e-10	0.0	0.31622776601683794	0.0	Memristive
3	0.15	-2.905e-10	2.905e-10	-516351118.7607573	0.15	-2.905e-10	0.0	0.0	20.0622975547507	2.905e-10	0.0	-0.029049999999999996	0.0	1500000.0	0.0	-1.936666666666667e-09	0.0	0.3872983346207417	0.0	Memristive
4	0.2	1.182e-11	1.182e-11	16920473773.265654	0.2	1.182e-11	0.0	0.0	23.551790191516496	1.182e-11	0.0	0.0011819999999999997	0.0	2000000.0000000002	0.0	5.91e-11	0.0	0.4472135954999579	0.0	Memristive
5	0.25	5.718e-11	5.718e-11	4372158097.236795	0.25	5.718e-11	0.0	0.0	22.19852256791449	5.718e-11	0.0	0.005718	0.0	2500000.0	0.0	2.2872e-10	0.0	0.5	0.0	Memristive
6	0.3	2.612e-10	2.612e-10	1148545176.1102602	0.3	2.612e-10	0.0	0.0	20.861761914200336	2.612e-10	0.0	0.02612	0.0	3000000.0	0.0	8.706666666666667e-10	0.0	0.5477225575051661	0.0	Memristive
7	0.35	4.578e-11	4.578e-11	7645259938.837919	0.35	4.578e-11	0.0	0.0	22.75735167690545	4.578e-11	0.0	0.0045780000000000005	0.0	3500000.0	0.0	1.308e-10	0.0	0.5916079783099616	0.0	Memristive
8	0.4	-2.06e-10	2.06e-10	-1941747572.8155339	0.4	-2.06e-10	0.0	0.0	21.386854215264812	2.06e-10	0.0	-0.0206	0.0	4000000.0000000005	0.0	-5.15e-10	0.0	0.6324555320336759	0.0	Memristive
9	0.45	1.651e-10	1.651e-10	2725620835.857056	0.45	1.651e-10	0.0	0.0	21.725962068784693	1.651e-10	0.0	0.01651	0.0	4500000.0	0.0	3.668888888888889e-10	0.0	0.6708203932499369	0.0	Memristive
10	0.5	4.547e-10	4.547e-10	1099626127.1167803	0.5	4.547e-10	0.0	0.0	20.818236074537637	4.547e-10	0.0	0.04546999999999999	0.0	5000000.0	0.0	9.094e-10	0.0	0.7071067811865476	0.0	Memristive
