	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	-6.266e-12	6.266e-12	-0.0	0.0	-6.266e-12	0.0	6.266e-12	0.0	6.266e-12	6.266e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
1	0.1	-2.076e-11	2.076e-11	-4816955684.007707	0.1	-2.076e-11	0.0	0.0	22.295407964636816	2.076e-11	0.0	-0.0020760000000000006	0.0	1000000.0000000001	0.0	-2.076e-10	0.0	0.31622776601683794	0.0	Memristive
2	0.2	3.425e-12	3.425e-12	58394160583.941605	0.2	3.425e-12	0.0	0.0	24.790481731780257	3.425e-12	0.0	0.0003425	0.0	2000000.0000000002	0.0	1.7125e-11	0.0	0.4472135954999579	0.0	Memristive
3	0.3	2.51e-11	2.51e-11	11952191235.059761	0.3	2.51e-11	0.0	0.0	23.204180465464873	2.51e-11	0.0	0.0025099999999999996	0.0	3000000.0	0.0	8.366666666666666e-11	0.0	0.5477225575051661	0.0	Memristive
4	0.4	6.703e-11	6.703e-11	5967477248.992989	0.4	6.703e-11	0.0	0.0	22.509590103684527	6.703e-11	0.0	0.006703	0.0	4000000.0000000005	0.0	1.67575e-10	0.0	0.6324555320336759	0.0	Memristive
5	0.5	7.99e-11	7.99e-11	6257822277.847309	0.5	7.99e-11	0.0	0.0	22.557098082596372	7.99e-11	0.0	0.007989999999999999	0.0	5000000.0	0.0	1.598e-10	0.0	0.7071067811865476	0.0	Memristive
6	0.5	7.376e-11	7.376e-11	6778741865.509762	0.5	7.376e-11	0.0	0.0	22.637057356120266	7.376e-11	0.0	0.007375999999999998	0.0	5000000.0	0.0	1.4752e-10	0.0	0.7071067811865476	0.0	Memristive
7	0.4	4.31e-11	4.31e-11	9280742459.396753	0.4	4.31e-11	0.0	0.0	22.95120738694469	4.31e-11	0.0	0.004309999999999999	0.0	4000000.0000000005	0.0	1.0774999999999999e-10	0.0	0.6324555320336759	0.0	Memristive
8	0.3	2.13e-11	2.13e-11	14084507042.253521	0.3	2.13e-11	0.0	0.0	23.368341238887233	2.13e-11	0.0	0.00213	0.0	3000000.0	0.0	7.1e-11	0.0	0.5477225575051661	0.0	Memristive
9	0.2	6.348e-12	6.348e-12	31505986137.3661	0.2	6.348e-12	0.0	0.0	24.173443400830287	6.348e-12	0.0	0.0006348	0.0	2000000.0000000002	0.0	3.174e-11	0.0	0.4472135954999579	0.0	Memristive
10	0.1	-1.909e-11	1.909e-11	-5238344683.080148	0.1	-1.909e-11	0.0	0.0	22.379271385196848	1.909e-11	0.0	-0.0019089999999999997	0.0	1000000.0000000001	0.0	-1.9089999999999998e-10	0.0	0.31622776601683794	0.0	Memristive
11	0.0	-2.327e-11	2.327e-11	-0.0	0.0	-2.327e-11	0.0	2.327e-11	0.0	2.327e-11	2.327e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
12	-0.1	8.311e-12	8.311e-12	-12032246420.40669	0.0	0.0	0.1	8.311e-12	23.210856084363613	0.0	8.311e-12	0.0	0.0008311000000000001	0.0	1000000.0000000001	0.0	8.311e-11	0.0	0.31622776601683794	Memristive
13	-0.2	-3.642e-11	3.642e-11	5491488193.3003845	0.0	0.0	0.2	3.642e-11	22.426465129194987	0.0	3.642e-11	0.0	0.003642	0.0	2000000.0000000002	0.0	1.821e-10	0.0	0.4472135954999579	Memristive
14	-0.3	-5.685e-11	5.685e-11	5277044854.881266	0.0	0.0	0.3	5.685e-11	22.386632091406067	0.0	5.685e-11	0.0	0.005685000000000001	0.0	3000000.0	0.0	1.8950000000000002e-10	0.0	0.5477225575051661	Memristive
15	-0.4	-7.761e-11	7.761e-11	5153975003.221234	0.0	0.0	0.4	7.761e-11	22.363034099188347	0.0	7.761e-11	0.0	0.007761	0.0	4000000.0000000005	0.0	1.94025e-10	0.0	0.6324555320336759	Memristive
16	-0.5	-5.664e-11	5.664e-11	8827683615.81921	0.0	0.0	0.5	5.664e-11	22.90115848598314	0.0	5.664e-11	0.0	0.005663999999999999	0.0	5000000.0	0.0	1.1328e-10	0.0	0.7071067811865476	Memristive
17	-0.5	-9.415e-11	9.415e-11	5310674455.655868	0.0	0.0	0.5	9.415e-11	22.392984680265442	0.0	9.415e-11	0.0	0.009415000000000001	0.0	5000000.0	0.0	1.883e-10	0.0	0.7071067811865476	Memristive
18	-0.4	-7.548e-11	7.548e-11	5299417064.122947	0.0	0.0	0.4	7.548e-11	22.390862663554042	0.0	7.548e-11	0.0	0.007548	0.0	4000000.0000000005	0.0	1.8869999999999998e-10	0.0	0.6324555320336759	Memristive
19	-0.3	-3.296e-11	3.296e-11	9101941747.572815	0.0	0.0	0.3	3.296e-11	22.93175360656134	0.0	3.296e-11	0.0	0.0032960000000000003	0.0	3000000.0	0.0	1.0986666666666667e-10	0.0	0.5477225575051661	Memristive
20	-0.2	-8.772e-12	8.772e-12	22799817601.45919	0.0	0.0	0.2	8.772e-12	23.850018372938806	0.0	8.772e-12	0.0	0.0008772	0.0	2000000.0000000002	0.0	4.386e-11	0.0	0.4472135954999579	Memristive
21	-0.1	6.39e-12	6.39e-12	-15649452269.17058	0.0	0.0	0.1	6.39e-12	23.473701754545058	0.0	6.39e-12	0.0	0.0006389999999999999	0.0	1000000.0000000001	0.0	6.39e-11	0.0	0.31622776601683794	Memristive
22	-0.0	-1.282e-11	1.282e-11	0.0	-0.0	-1.282e-11	0.0	1.282e-11	0.0	1.282e-11	1.282e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
