	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	1.129e-11	1.129e-11	0.0	0.0	1.129e-11	0.0	1.129e-11	0.0	1.129e-11	1.129e-11	0.0	0	0.0	0	0.0	0	0.0	0.0	Memristive
1	0.1	1.71e-11	1.71e-11	5847953216.374269	0.1	1.71e-11	0.0	0.0	22.489357559425887	1.71e-11	0.0	0.0017100000000000001	0	1000000.0000000001	0	1.71e-10	0	0.31622776601683794	0.0	Memristive
2	0.2	2.115e-11	2.115e-11	9456264775.413712	0.2	2.115e-11	0.0	0.0	22.96994329800216	2.115e-11	0.0	0.002115	0	2000000.0000000002	0	1.0575e-10	0	0.4472135954999579	0.0	Memristive
3	0.3	2.596e-11	2.596e-11	11556240369.799692	0.3	2.596e-11	0.0	0.0	23.170491419766723	2.596e-11	0.0	0.002596	0	3000000.0	0	8.653333333333334e-11	0	0.5477225575051661	0.0	Memristive
4	0.4	2.92e-11	2.92e-11	13698630136.986301	0.4	2.92e-11	0.0	0.0	23.340561674780158	2.92e-11	0.0	0.0029200000000000003	0	4000000.0000000005	0	7.299999999999999e-11	0	0.6324555320336759	0.0	Memristive
5	0.5	3.273e-11	3.273e-11	15276504735.716469	0.5	3.273e-11	0.0	0.0	23.449581846855512	3.273e-11	0.0	0.0032729999999999994	0	5000000.0	0	6.546e-11	0	0.7071067811865476	0.0	Memristive
6	0.6	3.607e-11	3.607e-11	16634322151.372332	0.6	3.607e-11	0.0	0.0	23.53473399724711	3.607e-11	0.0	0.0036070000000000004	0	6000000.0	0	6.011666666666666e-11	0	0.7745966692414834	0.0	Memristive
7	0.7	3.949e-11	3.949e-11	17726006583.9453	0.7	3.949e-11	0.0	0.0	23.59829869669126	3.949e-11	0.0	0.003949	0	7000000.0	0	5.641428571428572e-11	0	0.8366600265340756	0.0	Memristive
8	0.8	4.261e-11	4.261e-11	18774935461.15935	0.8	4.261e-11	0.0	0.0	23.655788597102518	4.261e-11	0.0	0.004261000000000001	0	8000000.000000001	0	5.32625e-11	0	0.8944271909999159	0.0	Memristive
9	0.9	4.719e-11	4.719e-11	19071837253.655437	0.9	4.719e-11	0.0	0.0	23.671478594532427	4.719e-11	0.0	0.004718999999999999	0	9000000.0	0	5.243333333333333e-11	0	0.9486832980505138	0.0	Memristive
10	1.0	5.076e-11	5.076e-11	19700551615.445232	1.0	5.076e-11	0.0	0.0	23.70391247308236	5.076e-11	0.0	0.005076	0	10000000.0	0	5.076e-11	0	1.0	0.0	Memristive
11	1.0	4.145e-11	4.145e-11	24125452352.2316	1.0	4.145e-11	0.0	0.0	23.906533234347243	4.145e-11	0.0	0.004145	0	10000000.0	0	4.145e-11	0	1.0	0.0	Memristive
12	0.9	2.842e-11	2.842e-11	31667839549.61295	0.9	2.842e-11	0.0	0.0	24.178567477601767	2.842e-11	0.0	0.0028419999999999995	0	9000000.0	0	3.157777777777778e-11	0	0.9486832980505138	0.0	Memristive
13	0.8	2.145e-11	2.145e-11	37296037296.0373	0.8	2.145e-11	0.0	0.0	24.342152919240313	2.145e-11	0.0	0.0021449999999999998	0	8000000.000000001	0	2.68125e-11	0	0.8944271909999159	0.0	Memristive
14	0.7	1.58e-11	1.58e-11	44303797468.35443	0.7	1.58e-11	0.0	0.0	24.514336231956896	1.58e-11	0.0	0.0015799999999999998	0	7000000.0	0	2.257142857142857e-11	0	0.8366600265340756	0.0	Memristive
15	0.6	1.214e-11	1.214e-11	49423393739.70346	0.6	1.214e-11	0.0	0.0	24.623689706531206	1.214e-11	0.0	0.001214	0	6000000.0	0	2.0233333333333333e-11	0	0.7745966692414834	0.0	Memristive
16	0.5	8.938e-12	8.938e-12	55940926381.74088	0.5	8.938e-12	0.0	0.0	24.747562084857343	8.938e-12	0.0	0.0008937999999999999	0	5000000.0	0	1.7876e-11	0	0.7071067811865476	0.0	Memristive
17	0.4	5.329e-12	5.329e-12	75060987051.97974	0.4	5.329e-12	0.0	0.0	25.04156678073975	5.329e-12	0.0	0.0005329000000000001	0	4000000.0000000005	0	1.3322499999999998e-11	0	0.6324555320336759	0.0	Memristive
