	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	6.683e-12	6.683e-12	0.0	0.0	6.683e-12	0.0	6.683e-12	0.0	6.683e-12	6.683e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
1	0.05	1.353e-11	1.353e-11	3695491500.3695493	0.05	1.353e-11	0.0	0.0	22.030379400191862	1.353e-11	0.0	0.001353	0.0	500000.00000000006	0.0	2.706e-10	0.0	0.22360679774997896	0.0	Memristive
2	0.1	3.479e-11	3.479e-11	2874389192.2966375	0.1	3.479e-11	0.0	0.0	21.779106033770653	3.479e-11	0.0	0.0034789999999999995	0.0	1000000.0000000001	0.0	3.4789999999999996e-10	0.0	0.31622776601683794	0.0	Memristive
3	0.15	9.397e-11	9.397e-11	1596254123.656486	0.15	9.397e-11	0.0	0.0	21.190925548647694	9.397e-11	0.0	0.009397	0.0	1500000.0	0.0	6.264666666666667e-10	0.0	0.3872983346207417	0.0	Memristive
4	0.2	1.225e-10	1.225e-10	1632653061.22449	0.2	1.225e-10	0.0	0.0	21.213472173509665	1.225e-10	0.0	0.01225	0.0	2000000.0000000002	0.0	6.124999999999999e-10	0.0	0.4472135954999579	0.0	Memristive
5	0.25	1.31e-10	1.31e-10	1908396946.5648854	0.25	1.31e-10	0.0	0.0	21.369529431607507	1.31e-10	0.0	0.0131	0.0	2500000.0	0.0	5.24e-10	0.0	0.5	0.0	Memristive
6	0.3	2.103e-10	2.103e-10	1426533523.5378032	0.3	2.103e-10	0.0	0.0	21.078513228893957	2.103e-10	0.0	0.02103	0.0	3000000.0	0.0	7.01e-10	0.0	0.5477225575051661	0.0	Memristive
7	0.35	1.728e-10	1.728e-10	2025462962.9629629	0.35	1.728e-10	0.0	0.0	21.429064135059914	1.728e-10	0.0	0.017279999999999997	0.0	3500000.0	0.0	4.937142857142857e-10	0.0	0.5916079783099616	0.0	Memristive
8	0.4	2.043e-10	2.043e-10	1957905041.605482	0.4	2.043e-10	0.0	0.0	21.395140882230816	2.043e-10	0.0	0.02043	0.0	4000000.0000000005	0.0	5.1075e-10	0.0	0.6324555320336759	0.0	Memristive
9	0.45	2.838e-10	2.838e-10	1585623678.6469345	0.45	2.838e-10	0.0	0.0	21.184243654984833	2.838e-10	0.0	0.028379999999999996	0.0	4500000.0	0.0	6.306666666666667e-10	0.0	0.6708203932499369	0.0	Memristive
10	0.5	3.526e-10	3.526e-10	1418037436.1883154	0.5	3.526e-10	0.0	0.0	21.072539665404832	3.526e-10	0.0	0.03525999999999999	0.0	5000000.0	0.0	7.052e-10	0.0	0.7071067811865476	0.0	Memristive
11	0.55	4.373e-10	4.373e-10	1257717813.8577638	0.55	4.373e-10	0.0	0.0	20.952564656754053	4.373e-10	0.0	0.04372999999999999	0.0	5500000.000000001	0.0	7.95090909090909e-10	0.0	0.7416198487095663	0.0	Memristive
12	0.6	4.751e-10	4.751e-10	1262892022.7320561	0.6	4.751e-10	0.0	0.0	20.95667018396968	4.751e-10	0.0	0.047510000000000004	0.0	6000000.0	0.0	7.918333333333334e-10	0.0	0.7745966692414834	0.0	Memristive
13	0.65	1.213e-09	1.213e-09	535861500.41220117	0.65	1.213e-09	0.0	0.0	20.099386290892046	1.213e-09	0.0	0.1213	0.0	6500000.000000001	0.0	1.866153846153846e-09	0.0	0.806225774829855	0.0	Memristive
14	0.7	1.358e-09	1.358e-09	515463917.52577317	0.7	1.358e-09	0.0	0.0	20.060577863871174	1.358e-09	0.0	0.1358	0.0	7000000.0	0.0	1.9400000000000003e-09	0.0	0.8366600265340756	0.0	Memristive
